draft_round,draft_pick,team,player,pos,age,year_max,all_pros_first_team,pro_bowls,years_as_primary_starter,career_av,draft_av,g,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,tackles_solo,def_int,sacks,college_id,college_link
3,72,Carolina Panthers,Trevin Wallace,LB,21,2024,0,0,1,3,3,13,0,0,0,0,0,0,0,0,0,0,0,36,,1.0,Kentucky,College Stats
3,73,Dallas Cowboys,Cooper Beebe,OL,23,2024,0,0,1,5,5,16,0,0,0,0,0,0,0,0,0,0,0,,,,Kansas St.,College Stats
3,74,Atlanta Falcons,Bralen Trice,DE,23,,0,0,0,,,,,,,,,,,,,,,,,,Washington,College Stats
3,75,Chicago Bears,Kiran Amegadjie,OL,22,2024,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,,,,Yale,
3,76,Denver Broncos,Jonah Elliss,DE,21,2024,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,24,,5.0,Utah,College Stats
3,77,Las Vegas Raiders,Delmar Glaze,OL,22,2024,0,0,1,5,5,17,0,0,0,0,0,0,0,0,0,0,0,,,,Maryland,College Stats
3,78,Houston Texans,Calen Bullock,SAF,21,2024,0,0,1,5,5,17,0,0,0,0,0,0,0,0,0,0,0,37,5,,USC,College Stats
3,79,Indianapolis Colts,Matt Goncalves,OL,23,2024,0,0,0,4,4,17,0,0,0,0,0,0,0,0,0,0,0,,,,Pittsburgh,College Stats
3,80,Cincinnati Bengals,Jermaine Burton,WR,23,2024,0,0,0,1,1,14,0,0,0,0,0,0,0,0,4,107,0,,,,Alabama,College Stats
3,81,Seattle Seahawks,Christian Haynes,OL,24,2024,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,,,,Connecticut,College Stats
3,82,Arizona Cardinals,Tip Reiman,TE,22,2024,0,0,1,0,0,17,0,0,0,0,0,0,0,0,6,37,0,,,,Illinois,College Stats
3,83,Los Angeles Rams,Blake Corum,RB,23,2024,0,0,0,2,2,17,0,0,0,0,0,58,207,0,7,58,0,1,,,Michigan,College Stats
3,84,Pittsburgh Steelers,Roman Wilson,WR,23,2024,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan,College Stats
3,85,Cleveland Browns,Zak Zinter,OL,23,2024,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan,College Stats
3,86,San Francisco 49ers,Dominick Puni,OL,24,2024,0,0,1,7,7,17,0,0,0,0,0,0,0,0,0,-3,0,,,,Kansas,College Stats
3,87,Dallas Cowboys,Marist Liufau,LB,23,2024,0,0,0,4,4,17,0,0,0,0,0,0,0,0,0,0,0,30,,1.5,Notre Dame,College Stats
3,88,Green Bay Packers,MarShawn Lloyd,RB,23,2024,0,0,0,0,0,1,0,0,0,0,0,6,15,0,1,3,0,,,,USC,College Stats
